-157.5,68.5, DENSITY ,1120,1.47, NAMERICA
-157.5,69, DENSITY ,1095,1.17, NAMERICA
-157.5,69.5, DENSITY ,1070,1.17, NAMERICA
-157,65, DENSITY ,1294,1.2, NAMERICA
-157,65.5, DENSITY ,1270,1.13, NAMERICA
-157,66, DENSITY ,1245,1.13, NAMERICA
-157,66.5, DENSITY ,1220,1.13, NAMERICA
-157,67, DENSITY ,1195,1.16, NAMERICA
-157,67.5, DENSITY ,1171,1.16, NAMERICA
-157,68, DENSITY ,1146,1.47, NAMERICA
-157,68.5, DENSITY ,1120,1.47, NAMERICA
-157,69, DENSITY ,1095,1.17, NAMERICA
-157,69.5, DENSITY ,1070,1.17, NAMERICA
-156.5,65, DENSITY ,1294,1.1799999, NAMERICA
-156.5,65.5, DENSITY ,1270,1.13, NAMERICA
-156.5,66, DENSITY ,1245,1.2, NAMERICA
-156.5,66.5, DENSITY ,1220,1.2, NAMERICA
-156.5,67, DENSITY ,1195,1.16, NAMERICA
-156.5,67.5, DENSITY ,1171,1.16, NAMERICA
-156.5,68, DENSITY ,1146,1.47, NAMERICA
-156.5,68.5, DENSITY ,1120,1.47, NAMERICA
-156.5,69, DENSITY ,1095,1.17, NAMERICA
-156.5,69.5, DENSITY ,1070,1.17, NAMERICA
-156,65, DENSITY ,1294,1.1799999, NAMERICA
-156,65.5, DENSITY ,1270,1.13, NAMERICA
-156,66, DENSITY ,1245,1.2, NAMERICA
-156,66.5, DENSITY ,1220,1.2, NAMERICA
-156,67, DENSITY ,1195,1.16, NAMERICA
-156,67.5, DENSITY ,1171,1.16, NAMERICA
-156,68, DENSITY ,1146,1.47, NAMERICA
-156,68.5, DENSITY ,1120,1.47, NAMERICA
-156,69, DENSITY ,1095,1.17, NAMERICA
-156,69.5, DENSITY ,1070,1.17, NAMERICA
-155.5,65, DENSITY ,1294,1.21, NAMERICA
-155.5,65.5, DENSITY ,1270,1.21, NAMERICA
-155.5,66, DENSITY ,1245,1.2, NAMERICA
-155.5,66.5, DENSITY ,1220,1.2, NAMERICA
-155.5,67, DENSITY ,1195,1.16, NAMERICA
-155.5,67.5, DENSITY ,1171,1.16, NAMERICA
-155.5,68, DENSITY ,1146,1.47, NAMERICA
-155.5,68.5, DENSITY ,1120,1.47, NAMERICA
-155.5,69, DENSITY ,1095,1.17, NAMERICA
-155.5,69.5, DENSITY ,1070,1.17, NAMERICA
-155,65, DENSITY ,1294,1.21, NAMERICA
-155,65.5, DENSITY ,1270,1.21, NAMERICA
-155,66, DENSITY ,1245,1.2, NAMERICA
-155,66.5, DENSITY ,1220,1.2, NAMERICA
-155,67, DENSITY ,1195,1.16, NAMERICA
-155,67.5, DENSITY ,1171,1.16, NAMERICA
-155,68, DENSITY ,1146,1.47, NAMERICA
-155,68.5, DENSITY ,1120,1.47, NAMERICA
-155,69, DENSITY ,1095,1.17, NAMERICA
-155,69.5, DENSITY ,1070,1.17, NAMERICA
-154.5,65, DENSITY ,1294,1.21, NAMERICA
-154.5,65.5, DENSITY ,1270,1.21, NAMERICA
-154.5,66, DENSITY ,1245,1.2, NAMERICA
-154.5,66.5, DENSITY ,1220,1.2, NAMERICA
-154.5,67, DENSITY ,1195,1.16, NAMERICA
-154.5,67.5, DENSITY ,1171,1.16, NAMERICA
-154.5,68, DENSITY ,1146,1.47, NAMERICA
-154.5,68.5, DENSITY ,1120,1.47, NAMERICA
-154.5,69, DENSITY ,1095,1.17, NAMERICA
-154.5,69.5, DENSITY ,1070,1.17, NAMERICA
-154,65, DENSITY ,1294,1.21, NAMERICA
-154,65.5, DENSITY ,1270,1.2, NAMERICA
-154,66, DENSITY ,1245,1.2, NAMERICA
-154,66.5, DENSITY ,1220,1.2, NAMERICA
-154,67, DENSITY ,1195,1.16, NAMERICA
-154,67.5, DENSITY ,1171,1.16, NAMERICA
-154,68, DENSITY ,1146,1.47, NAMERICA
-154,68.5, DENSITY ,1120,1.47, NAMERICA
-154,69, DENSITY ,1095,1.17, NAMERICA
-154,69.5, DENSITY ,1070,1.17, NAMERICA
-153.5,65, DENSITY ,1294,1.21, NAMERICA
-153.5,65.5, DENSITY ,1270,1.2, NAMERICA
-153.5,66, DENSITY ,1245,1.2, NAMERICA
-153.5,66.5, DENSITY ,1220,1.2, NAMERICA
-153.5,67, DENSITY ,1195,1.16, NAMERICA
-153.5,67.5, DENSITY ,1171,1.16, NAMERICA
-153.5,68, DENSITY ,1146,1.47, NAMERICA
-153.5,68.5, DENSITY ,1120,1.47, NAMERICA
-153.5,69, DENSITY ,1095,1.17, NAMERICA
-153.5,69.5, DENSITY ,1070,1.17, NAMERICA
-153,65, DENSITY ,1294,1.13, NAMERICA
-153,65.5, DENSITY ,1270,1.2, NAMERICA
-153,66, DENSITY ,1245,1.13, NAMERICA
-153,66.5, DENSITY ,1220,1.13, NAMERICA
-153,67, DENSITY ,1195,1.16, NAMERICA
-153,67.5, DENSITY ,1171,1.16, NAMERICA
-153,68, DENSITY ,1146,1.47, NAMERICA
-153,68.5, DENSITY ,1120,1.47, NAMERICA
-153,69, DENSITY ,1095,1.17, NAMERICA
