-156,66.5, ELEV ,1220,359, NAMERICA 
-156,67, ELEV ,1195,897, NAMERICA 
-156,67.5, ELEV ,1171,901, NAMERICA 
-156,68, ELEV ,1146,931, NAMERICA 
-156,68.5, ELEV ,1120,406, NAMERICA 
-156,69, ELEV ,1095,237, NAMERICA 
-156,69.5, ELEV ,1070,105, NAMERICA 
-155.5,65, ELEV ,1294,362, NAMERICA 
-155.5,65.5, ELEV ,1270,119, NAMERICA 
-155.5,66, ELEV ,1245,159, NAMERICA 
-155.5,66.5, ELEV ,1220,379, NAMERICA 
-155.5,67, ELEV ,1195,938, NAMERICA 
-155.5,67.5, ELEV ,1171,884, NAMERICA 
-155.5,68, ELEV ,1146,1060, NAMERICA 
-155.5,68.5, ELEV ,1120,423, NAMERICA 
-155.5,69, ELEV ,1095,213, NAMERICA 
-155.5,69.5, ELEV ,1070,102, NAMERICA 
-155,65, ELEV ,1294,464, NAMERICA 
-155,65.5, ELEV ,1270,362, NAMERICA 
-155,66, ELEV ,1245,210, NAMERICA 
-155,66.5, ELEV ,1220,322, NAMERICA 
-155,67, ELEV ,1195,911, NAMERICA 
-155,67.5, ELEV ,1171,1026, NAMERICA 
-155,68, ELEV ,1146,1185, NAMERICA 
-155,68.5, ELEV ,1120,427, NAMERICA 
-155,69, ELEV ,1095,237, NAMERICA 
-155,69.5, ELEV ,1070,98, NAMERICA 
-154.5,65, ELEV ,1294,593, NAMERICA 
-154.5,65.5, ELEV ,1270,281, NAMERICA 
-154.5,66, ELEV ,1245,271, NAMERICA 
-154.5,66.5, ELEV ,1220,359, NAMERICA 
-154.5,67, ELEV ,1195,850, NAMERICA 
-154.5,67.5, ELEV ,1171,965, NAMERICA 
-154.5,68, ELEV ,1146,1067, NAMERICA 
-154.5,68.5, ELEV ,1120,474, NAMERICA 
-154.5,69, ELEV ,1095,210, NAMERICA 
-154.5,69.5, ELEV ,1070,108, NAMERICA 
-154,65, ELEV ,1294,488, NAMERICA 
-154,65.5, ELEV ,1270,423, NAMERICA 
-154,66, ELEV ,1245,396, NAMERICA 
-154,66.5, ELEV ,1220,359, NAMERICA 
-154,67, ELEV ,1195,938, NAMERICA 
-154,67.5, ELEV ,1171,982, NAMERICA 
-154,68, ELEV ,1146,1131, NAMERICA 
-154,68.5, ELEV ,1120,454, NAMERICA 
-154,69, ELEV ,1095,179, NAMERICA 
-154,69.5, ELEV ,1070,102, NAMERICA 
-153.5,65, ELEV ,1294,332, NAMERICA 
-153.5,65.5, ELEV ,1270,369, NAMERICA 
-153.5,66, ELEV ,1245,251, NAMERICA 
-153.5,66.5, ELEV ,1220,373, NAMERICA 
-153.5,67, ELEV ,1195,901, NAMERICA 
-153.5,67.5, ELEV ,1171,975, NAMERICA 
-153.5,68, ELEV ,1146,1372, NAMERICA 
-153.5,68.5, ELEV ,1120,440, NAMERICA 
